id,flag,type,size,age,owner,operator
627,CHN,Bulk,Handy,>30,Xiamen Jiuzhou Group Corporation,Xiamen Jiuzhou Group Corporation
4770,USA,Container,Feedermax,>30,Horizon Lines LLC,Horizon Lines LLC
5236,PAN,Bulk,Handy,>30,New York Cement Company,New York Cement Company
6657,ESP,Container,Small,>30,Contenemar S.A.,Contenemar S.A.
6756,LBR,Bulk,Handy,>30,,
12437,PRY,Container,Small,>30,Unknown Brazilian Owners,Unknown Brazilian Owners
12446,VCT,Container,Small,>30,Bernuth Agencies Incorporated,Bernuth Lines Limited
12461,VCT,Container,Small,>30,Bernuth Agencies Incorporated,Bernuth Agencies Incorporated
12670,IDN,Container,Small,>30,,
16611,CAN,Bulk,Handy,>30,CSL Group Incorporated,CSL Group Incorporated
17067,CHN,Bulk,Capesize,>30,Shanghai Puyuan Shipping Company Limited,Shanghai Puyuan Shipping Company Limited
20652,PRY,Container,Small,>30,Navemar S.A.,Navemar S.A.
22520,KOR,Container,Small,>30,Pusan Kwangyang Industries Company,Pusan Kwangyang Industries Company
25534,PAN,Bulk,Handy,>30,Thai Shipping & Chartering Company Limited,Thai Shipping & Chartering Company Limited
26024,CHN,Bulk,Small,>30,"Government of China, (The People's Republic of)",China Ocean Aviation Corporation
26231,KOR,Container,Small,>30,Hyunsoeng Industry Company Limited,Hyunsoeng Industry Company Limited
30514,PHL,Container,Small,>30,,
32133,CHN,Bulk,Handy,>30,Nanjing Changshun Shipping Company Limited,Nanjing Changshun Shipping Company Limited
35033,CHN,Bulk,Handymax,>30,,
40263,COM,Bulk,Small,>30,,
41063,CHN,Bulk,Handy,>30,Ying Kou Bei Fang Shipping Company Limited,Ying Kou Bei Fang Shipping Company Limited
42564,PAN,Container,Small,>30,,
43444,CHN,Bulk,Handy,>30,"Government of China, (The People's Republic of)","Government of China, (The People's Republic of)"
43573,CHN,Bulk,Handy,>30,,
47330,CHN,Bulk,Handy,>30,,
47715,USA,Container,Feeder,>30,Government of The United States of America,Government of The United States of America
47717,USA,Container,Feeder,>30,Government of The United States of America,Government of The United States of America
50421,KHM,Container,Small,>30,El Fath Company for International Trade S.A.E.,El Fath Company for International Trade S.A.E.
50772,PAN,Container,Small,>30,,
52417,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
61007,CAN,Bulk,Handy,>30,,
61443,USA,Container,Feedermax,>30,Matson Navigation Company Incorporated,Matson Navigation Company Incorporated
65772,CHN,Bulk,Handy,>30,Fujian Shipping Company (FUSCO),Fujian Shipping Company (FUSCO)
67346,BRB,Bulk,Small,>30,Wilson ASA,Wilson EuroCarriers AS
67663,SGP,Bulk,Handy,>30,Maritime Investment Holdings Private Limited,CHL Shipping B.V.
71441,PAN,Bulk,Handy,>30,Qingdao Jin Hai Shipping,Qingdao Jin Hai Shipping
72015,COM,Bulk,Handy,>30,,
73056,PAN,Bulk,Handy,>30,Trinity Shipping Corporation,Trinity Shipping Corporation
73465,IDN,Container,Small,>30,PT Pelayaran Niaga Sukses Bersama,PT Pelayaran Niaga Sukses Bersama
74544,CHN,Bulk,Handymax,>30,,
75323,PMD,Bulk,Small,>30,Unknown,Unknown
75343,CHN,Bulk,Handy,>30,,
77035,KNA,Bulk,Handy,>30,Ahlia AG Marine Limited,Ahlia AG Marine Limited
77654,PAN,Container,Small,>30,Yong Zhao International Shipping S.A.,Yong Zhao International Shipping S.A.
101354,PAN,Bulk,Handy,>30,,
101370,CHN,Bulk,Handymax,>30,China Huadian Corporation,Huayuan Star Shipping Company Limited
101372,CHN,Bulk,Handy,>30,Unknown Owners,Unknown Owners
101402,CHN,Bulk,Handymax,>30,,
101540,PAN,Bulk,Handy,>30,Sea Star Ships Management Company Limited,Sea Star Ships Management Company Limited
101667,CHN,Container,Small,>30,,
102530,RUS,Bulk,Handy,>30,JSC Northern Shipping Company,JSC Northern Shipping Company
102635,IDN,Container,Small,>30,P.T. Indonesian Fortune Lloyd,P.T. Indonesian Fortune Lloyd
102636,PAN,Bulk,Handy,>30,,
103760,PAN,Bulk,Handy,>30,Unknown Owners,Unknown Owners
105240,KOR,Bulk,Small,>30,,
105460,CHN,Bulk,Handy,>30,,
105635,PAN,Bulk,Handy,>30,,
106036,TUR,Bulk,Handy,>30,,
111035,KHM,Bulk,Handy,>30,,
112155,PAN,Bulk,Handy,>30,Hengfa Shipping Incorporated,Hengfa Shipping Incorporated
113335,COK,Bulk,Handy,>30,,
113543,USA,Container,Feedermax,>30,Marine Transport Management Incorporated,Marine Transport Management Incorporated
115654,PAN,Bulk,Handy,>30,,
116350,TZA,Bulk,Handy,>30,,
117623,CHN,Bulk,Handymax,>30,China Ocean Shipping (Group) Company (COSCO),China Ocean Shipping (Group) Company (COSCO)
120367,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
120624,CAN,Bulk,Handy,>30,,
120626,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
120630,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
120634,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
120746,VCT,Container,Unspecified,>30,Tropical Shipping & Construction Company Limited,Tropical Shipping & Construction Company Limited
121122,USA,Bulk,Handy,>30,Boland & Cornelius Incorporated,American Steamship Company
122322,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
122333,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
122434,USA,Bulk,Handy,>30,Canadian National Railways,Canadian National Railways
122476,USA,Bulk,Handy,>30,Boland & Cornelius Incorporated,American Steamship Company
123164,USA,Bulk,Small,>30,State University of New York (SUNY),State University of New York (SUNY)
123503,USA,Bulk,Handy,>30,Central Marine Logistics Incorporated,Central Marine Logistics Incorporated
124306,USA,Bulk,Handy,>30,American Transport Leasing Incorporated,American Transport Leasing Incorporated
124310,USA,Bulk,Small,>30,Inland Lakes Management Incorporated,Inland Lakes Management Incorporated
124311,CAN,Bulk,Handy,>30,Rand Logistics Incorporated,Rand Logistics Incorporated
124335,CAN,Bulk,Handy,>30,CSL Group Incorporated,CSL Group Incorporated
124355,USA,Bulk,Panamax,>30,The Interlake Steamship Company,The Interlake Steamship Company
124444,CAN,Bulk,Handy,>30,Rand Logistics Incorporated,Rand Logistics Incorporated
124467,PAN,Bulk,Handy,>30,,
124505,USA,Bulk,Handy,>30,The Interlake Steamship Company,The Interlake Steamship Company
124522,USA,Bulk,Handy,>30,Central Marine Logistics Incorporated,Central Marine Logistics Incorporated
124741,CAN,Bulk,Handy,>30,Rand Logistics Incorporated,Rand Logistics Incorporated
124751,USA,Bulk,Panamax,>30,Boland & Cornelius Incorporated,American Steamship Company
125507,IDN,Container,Small,>30,,
126633,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
134563,USA,Container,Feedermax,>30,Marine Transport Management Incorporated,Sunrise Enterprise LLC
135003,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
135176,USA,Bulk,Panamax,>30,Canadian National Railways,Canadian National Railways
135250,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
135624,CHN,Bulk,Handy,>30,Dalian Chain Star Ship Management Company Limited,Dalian Chain Star Ship Management Company Limited
135766,PAN,Bulk,Handy,>30,DR Ship Management Company Limited,DR Ship Management Company Limited
136420,USA,Bulk,Handy,>30,Boland & Cornelius Incorporated,American Steamship Company
137634,CHN,Bulk,Small,>30,China Shipping (Group) Company,China Shipping Container Lines Company Limited
141211,KNA,Bulk,Handy,>30,Fujian Mainstar Shipping Limited,Fujian Mainstar Shipping Limited
141436,USA,Bulk,Handy,>30,Boland & Cornelius Incorporated,American Steamship Company
142056,USA,Bulk,Panamax,>30,Canadian National Railways,Canadian National Railways
142507,USA,Bulk,Panamax,>30,Boland & Cornelius Incorporated,American Steamship Company
142531,PAN,Bulk,Handy,>30,BM Shipping Group S.p.A.,BM Shipping Group S.p.A.
142617,CAN,Bulk,Handy,>30,CSL Group Incorporated,CSL Group Incorporated
143332,SLE,Bulk,Handy,>30,,
143646,PAN,Bulk,Handy,>30,,
144255,PAN,Bulk,Small,>30,,
144343,TGO,Bulk,Small,>30,,
144631,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
145110,BRA,Bulk,Handy,25-30,Navegacao Mansur Limitada,Navegacao Mansur Limitada
145234,IDN,Container,Small,>30,,
145573,PAN,Bulk,Handy,>30,,
145616,PAN,Bulk,Handy,>30,,
146543,GRC,Container,Panamax,>30,,
146546,IDN,Container,Small,>30,Alkan Abadi P.T.,Alkan Abadi P.T.
146715,CHN,Bulk,Handy,25-30,Sinotrans CSC Group Company Limited,Shanghai Changjiang Shipping Corporation
147061,PAN,Bulk,Handy,>30,,
147124,GRC,Bulk,Handy,>30,,
147162,TGO,Bulk,Small,>30,Johar Group of Companies,Bia Shipping Company S.r.l.
147537,CAN,Bulk,Handy,>30,Algoma Central Corporation,Algoma Central Corporation
147606,TUR,Bulk,Panamax,>30,,
150156,PAN,Bulk,Handy,>30,,
150217,MHL,Bulk,Panamax,>30,Torvald Klaveness Group,Torvald Klaveness Group
150366,TGO,Bulk,Handy,>30,,
150464,TGO,Bulk,Small,>30,Johar Group of Companies,Bia Shipping Company S.r.l.
150574,IDN,Container,Small,>30,P.T. Bintang Jasa Samudra Line,P.T. Bintang Jasa Samudra Line
151055,MYS,Container,Small,>30,,
151525,BRA,Bulk,Handy,>30,Lyra Navegacao Maritima Limted,Lyra Navegacao Maritima Limted
151527,VEN,Bulk,Capesize,>30,C.V.G. Ferrominera Orinoco C.A.,C.V.G. Ferrominera Orinoco C.A.
151552,PAN,Bulk,Handy,>30,,
151566,PAN,Bulk,Panamax,>30,,
151657,PAN,Bulk,Handy,>30,,
151707,PAN,Bulk,Handy,>30,,
151745,LBR,Bulk,Handymax,>30,Alcoa Steamship Company Inc,Alcoa Steamship Company Inc
152113,SLE,Bulk,Handy,>30,JLS Marine Company,JLS Marine Company
152157,CHN,Container,Small,>30,Dalian Shipping Group Company Limited,Dalian Shipping Group Company Limited
152321,USA,Bulk,Panamax,>30,Boland & Cornelius Incorporated,American Steamship Company
152416,PAN,Bulk,Handy,>30,,
152521,BHS,Bulk,Panamax,>30,Vulica Shipping Company Limited,Vulica Shipping Company Limited
153237,PAN,Bulk,Handy,>30,,
153343,VCT,Bulk,Handy,>30,Bayazid Shipping Company,Bayazid Shipping Company
153463,IDN,Container,Small,>30,P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL),P.T. Pelayaran Nusantara Salam Pacific Indonesia Lines (SPIL)
153502,USA,Container,Panamax,>30,Matson Navigation Company Incorporated,Matson Navigation Company Incorporated
153503,IDN,Container,Small,>30,P.T. Tanto Intim Line,P.T. Tanto Intim Line
153573,TUR,Bulk,Handy,25-30,,
153735,PAN,Bulk,Handy,>30,,
154234,TUR,Bulk,Handy,>30,,
154646,BHS,Bulk,Handy,>30,,
155067,PAN,Bulk,Handy,>30,Shanghai Shenyue Ship Management Company,Shanghai Shenyue Ship Management Company
155111,DZA,Bulk,Handy,>30,International Bulk Carrier S.p.A.,International Bulk Carrier S.p.A.
155115,BGD,Container,Small,>30,HRC Shipping Limited,HRC Shipping Limited
155147,LBR,Bulk,Panamax,>30,ESHIPS Oldendorff Logistics (EOL) LLC,ESHIPS Oldendorff Logistics (EOL) LLC
155325,PAN,Bulk,Handy,>30,Unknown Breakers,Unknown Breakers
155547,USA,Container,Panamax,>30,Matson Navigation Company Incorporated,Matson Navigation Company Incorporated
156007,KNA,Container,Feeder,>30,,
156213,MLT,Bulk,Handy,25-30,,
156265,PAN,Container,Feeder,>30,Mediterranean Shipping Company (MSC) SA,Mediterranean Shipping Company (MSC) SA
156350,PAN,Bulk,Panamax,>30,,
156360,LBR,Bulk,Handy,>30,,
156373,BHS,Bulk,Capesize,>30,,
156511,BRB,Bulk,Handy,>30,Litat Group,Litat Group
157005,PAN,Bulk,Panamax,>30,Bangladesh Breakers,Bangladesh Breakers
157011,PHL,Container,Small,>30,Philippine Span Asia Carrier Corporation,Philippine Span Asia Carrier Corporation
157154,IDN,Container,Small,>30,P.T. Tanto Intim Line,P.T. Tanto Intim Line
157545,PAN,Container,Feeder,>30,Mediterranean Shipping Company (MSC) SA,Mediterranean Shipping Company (MSC) SA
157575,IND,Bulk,Capesize,>30,,
157633,TZA,Bulk,Handy,>30,,
157657,TUV,Bulk,Handy,25-30,,
157660,PAN,Bulk,Handymax,>30,,
160031,IDN,Bulk,Panamax,>30,,
160156,VCT,Bulk,Handy,>30,Thalatta Shipping Management S.A.,Thalatta Shipping Management S.A.
160544,CHN,Bulk,Handy,>30,Shanghai Yang Pu Zhe Hai Shipping Company Limited,Shanghai Yang Pu Zhe Hai Shipping Company Limited
161226,PAN,Bulk,Panamax,25-30,,
161236,LKA,Bulk,Handy,>30,Ocean Ship Management Private Limited,Ocean Ship Management Private Limited
161276,PAN,Bulk,Handy,25-30,,
161420,CAN,Bulk,Handy,>30,CSL Group Incorporated,CSL Group Incorporated
161425,KHM,Bulk,Handy,>30,,
161437,PAN,Container,Feeder,25-30,,
161443,COM,Bulk,Handy,>30,,
161456,JPN,Bulk,Handy,>30,Ube Industries Limited,Ube Shipping & Logistics Limited
161771,BGD,Container,Small,>30,,
162012,MHL,Bulk,Handy,>30,,
162044,COM,Bulk,Handy,>30,,
162106,IDN,Bulk,Panamax,>30,PT Jaya Samudra Karunia Shipping,PT Jaya Samudra Karunia Shipping
162123,CHN,Bulk,Handy,25-30,"Government of China, (The People's Republic of)",China National Transport Machinery Import & Export Corporation
162324,PAN,Bulk,Handy,25-30,,
162427,CHN,Container,Unspecified,>30,Guangdong Tongcheng Shipping Company Limited,Guangdong Tongcheng Shipping Company Limited
162667,IDN,Container,Small,>30,P.T. Sinar Samudra Tripratama,P.T. Sinar Samudra Tripratama
163101,IDN,Container,Small,>30,PT. Meratus Line,PT. Meratus Line
163257,PAN,Bulk,Handymax,25-30,,
163275,PAN,Bulk,Handymax,>30,,
163644,PAN,Bulk,Handy,25-30,Aleria Denizcilik ve Ticaret Anonim Sirketi,Aleria Denizcilik ve Ticaret Anonim Sirketi
163661,PAN,Bulk,Handy,25-30,,
164112,CHN,Container,Feeder,25-30,,
164152,PAN,Container,Feeder,25-30,Mediterranean Shipping Company (MSC) SA,Mediterranean Shipping Company (MSC) SA
164174,TGO,Bulk,Handy,25-30,Indian Breakers,Indian Breakers
164364,PAN,Bulk,Handy,>30,Grace Line Limited,Grace Line Limited
164455,LBR,Bulk,Handymax,>30,,
164514,PAN,Bulk,Handy,>30,,
165233,MLT,Bulk,Handy,25-30,,
165343,PAN,Bulk,Handy,25-30,,
165372,IDN,Container,Small,25-30,,
165415,PAN,Bulk,Panamax,>30,,
165536,BGD,Container,Small,25-30,HRC Shipping Limited,HRC Shipping Limited
165733,HKG,Container,Feedermax,25-30,,
166363,KIR,Bulk,Handy,25-30,,
166377,PAN,Bulk,Panamax,25-30,,
166705,CHN,Bulk,Handymax,25-30,Sinotrans CSC Group Company Limited,Shanghai Changjiang Shipping Corporation
166760,CHN,Bulk,Handymax,25-30,,
166767,IDN,Bulk,Handy,25-30,P.T. Pupuk Sriwijaya,P.T. Pupuk Sriwijaya
166772,BRB,Bulk,Handy,25-30,,
167004,BHS,Bulk,Panamax,25-30,Vulica Shipping Company Limited,Vulica Shipping Company Limited
167150,MNG,Bulk,Handy,25-30,,
167173,PAN,Bulk,Handymax,25-30,,
167255,PAN,Bulk,Handy,25-30,,
167317,PAN,Bulk,Handy,25-30,,
170106,MLT,Bulk,Handy,25-30,,
170147,PAN,Bulk,Handy,25-30,MCD Shipping S.A.,MCD Shipping S.A.
170151,PAN,Bulk,Handy,25-30,Kassab Inter Shipping LLC,Swedish Management Company S.A.
170237,BRB,Bulk,Handy,25-30,,
170242,PAN,Bulk,Handy,25-30,,
170346,BLZ,Bulk,Handy,25-30,,
170370,PAN,Bulk,Handy,25-30,Starford International Shipping Company Limited,Starford International Shipping Company Limited
170473,PLW,Bulk,Handy,25-30,,
170476,CHN,Bulk,Handy,25-30,Tianjin Ganghai Shipping Company Limited,Tianjin Ganghai Shipping Company Limited
170573,MYS,Container,Small,25-30,,
170667,PAN,Bulk,Handy,25-30,Hua Tai Shipping Company Limited,Hua Tai Shipping Company Limited
170707,PAN,Bulk,Handymax,25-30,Pacship Private Limited,Pacship Private Limited
170741,VEN,Bulk,Handy,25-30,Cemex SAB de CV,Compania Anonima Venezolana de Cementos (VENCEMOS)
170760,TWN,Bulk,Handy,25-30,Yu Pin Shipping Corporation Limited,Yu Pin Shipping Corporation Limited
171523,CHN,Container,Feeder,25-30,China Ocean Shipping (Group) Company (COSCO),Shanghai Panasia Shipping Company Limited
171530,TUR,Bulk,Handy,25-30,MSK Denizcilik Isletmeleri Limited Sirketi,MSK Denizcilik Isletmeleri Limited Sirketi
171557,PAN,Bulk,Handy,25-30,,
171604,CHN,Bulk,Handy,25-30,Shanghai Baojiang Shipping,Shanghai Baojiang Shipping
171726,CHN,Bulk,Handy,25-30,Nanjing Zhonggang Shipping Company Limited,Nanjing Zhonggang Shipping Company Limited
171745,PAN,Bulk,Panamax,25-30,,
172066,BLZ,Bulk,Handy,25-30,Sea Dynasty Limited,Sea Dynasty Limited
172115,KOR,Bulk,Handy,25-30,,
172145,COM,Bulk,Handymax,25-30,,
172150,PAN,Bulk,Handy,25-30,Nepa Projects & Investments Limited,Nepa Projects & Investments Limited
172212,CHN,Bulk,Handymax,25-30,Guangdong Haidian Shipping Company Limited,Guangdong Haidian Shipping Company Limited
172226,PAN,Bulk,Handymax,25-30,,
172271,PLW,Container,Small,25-30,Heliessa Marine SA,Heliessa Marine SA
172303,PAN,Bulk,Handy,25-30,,
172315,COM,Bulk,Handy,25-30,,
172407,CHN,Bulk,Handy,25-30,Zhejiang Shipping Group Company Limited,Taizhou Shipping Company Limited
172465,CHN,Bulk,Handy,25-30,,
172721,PAN,Bulk,Handy,25-30,,
172722,IDN,Bulk,Handymax,25-30,Indian Breakers,Indian Breakers
172730,COM,Bulk,Handymax,25-30,,
173044,CHN,Bulk,Handy,25-30,Fujian Shipping Company (FUSCO),Fujian Shipping Company (FUSCO)
173061,PAN,Bulk,Handy,25-30,SESCO Group,SESCO Trading
173064,SLE,Bulk,Handy,25-30,,
173126,LBR,Bulk,Handy,25-30,Pakistan Breakers,Pakistan Breakers
173147,RUS,Bulk,Handy,25-30,North Eastern Shipping Company Limited,North Eastern Shipping Company Limited
173154,UNK,Bulk,Handy,25-30,,
173157,TUR,Bulk,Handy,25-30,,
173217,BGR,Bulk,Handy,25-30,,
173221,SGP,Bulk,Handymax,25-30,Maritime Investment Holdings Private Limited,CHL Shipping B.V.
173300,KNA,Bulk,Panamax,25-30,Unknown,Unknown
173343,PAN,Bulk,Panamax,25-30,,
173507,LBR,Bulk,Handy,25-30,,
173717,KIR,Bulk,Handy,25-30,Hubei Qintai Shipping Company Limited,Hubei Qintai Shipping Company Limited
173721,CHN,Bulk,Handy,25-30,,
174004,CHN,Container,Feeder,25-30,China Ocean Shipping (Group) Company (COSCO),Shanghai Panasia Shipping Company Limited
174046,BLZ,Bulk,Handy,25-30,,
174071,CAN,Bulk,Handy,25-30,CSL Group Incorporated,CSL Group Incorporated
174406,CHN,Bulk,Handy,25-30,China Shipping (Group) Company,Shanghai Time Shipping Company Limited
174411,KNA,Bulk,Handy,25-30,,
174425,MLT,Bulk,Handy,25-30,,
174560,PAN,Bulk,Handy,25-30,,
174610,COM,Bulk,Handymax,25-30,,
174617,COM,Bulk,Handymax,25-30,,
174743,PAN,Container,Small,25-30,,
174776,LBR,Bulk,Panamax,25-30,Pakistan Breakers,Pakistan Breakers
175020,BGD,Bulk,Handy,25-30,,
175027,PAN,Bulk,Handy,25-30,,
175037,COK,Bulk,Handy,25-30,Unknown,Unknown
175105,PAN,Bulk,Panamax,25-30,,
175111,MLT,Bulk,Handymax,25-30,,
175112,CHN,Bulk,Handymax,25-30,,
175134,PAN,Bulk,Handy,25-30,,
175143,PHL,Bulk,Handy,25-30,,
175161,BRB,Bulk,Handy,25-30,,
175237,CYP,Bulk,Handy,25-30,,
175661,TUR,Container,Feeder,25-30,,
175722,CHN,Container,Small,25-30,,
176006,BGD,Bulk,Handymax,25-30,Bangladesh Breakers,Bangladesh Breakers
176062,PAN,Bulk,Handymax,25-30,,
176106,MLT,Bulk,Small,25-30,,
176110,CHN,Container,Small,25-30,Jiangsu Jiashihe Shipping Company Limited,Jiangsu Jiashihe Shipping Company Limited
176143,CHN,Container,Feeder,25-30,,
176215,COM,Bulk,Handymax,25-30,,
176234,PAN,Bulk,Panamax,25-30,,
176256,TUV,Bulk,Handymax,25-30,,
176374,PAN,Bulk,Handymax,25-30,,
176416,PAN,Bulk,Handymax,25-30,,
176433,PAN,Bulk,Handy,25-30,Rongcheng Shidao Company Limited,Rongcheng Shidao Company Limited
176444,PAN,Bulk,Handymax,25-30,,
176447,KNA,Bulk,Handy,20-25,,
176471,PAN,Bulk,Handymax,25-30,,
176513,CHN,Bulk,Handy,25-30,,
177360,SLE,Container,Feeder,25-30,Xixiakou Group Company Limited,Xixiakou Group Company Limited
177407,TUR,Container,Feeder,25-30,Arkas Holding S.A.,Arkas Denizcilik ve Nakliyat A.S.
177416,COM,Container,Feedermax,25-30,,
177515,CHN,Bulk,Handymax,25-30,,
177535,DMA,Bulk,Capesize,25-30,,
177574,PAN,Bulk,Handy,25-30,Strand Management S.A.,Strand Management S.A.
177625,PAN,Bulk,Handymax,25-30,,
177647,CYP,Bulk,Handy,25-30,,
177665,MHL,Bulk,Handy,25-30,Unknown Syrian Owners,Unknown Syrian Owners
177722,PAN,Bulk,Handy,25-30,Fu Long Marine Shipping Company Limited,Fu Long Marine Shipping Company Limited
177757,PAN,Bulk,Handy,25-30,,
200020,CHN,Container,Feeder,>30,China Shipping (Group) Company,China Shipping Development Company Limited
200065,CHN,Bulk,Handy,25-30,China Ocean Shipping (Group) Company (COSCO),COSCO Development Shipping Company Limited
200361,USA,Container,Panamax,25-30,,
200501,PAN,Bulk,Handy,25-30,Guangzhou Seaway International Ship Management Company Limited,Guangzhou Seaway International Ship Management Company Limited
200573,BLZ,Bulk,Handy,25-30,Old Stone Shipmanagement Limited,Old Stone Shipmanagement Limited
200575,CHN,Bulk,Handy,25-30,,
200616,PAN,Bulk,Handymax,25-30,Bergen Denizcilik Limited Sirketi (Bergen Shipping Limited),Bergen Denizcilik Limited Sirketi (Bergen Shipping Limited)
200760,BGD,Bulk,Handy,25-30,Marine (Agency) Services Limited,Marine (Agency) Services Limited
200762,PAN,Bulk,Capesize,25-30,,
201000,KIR,Bulk,Handy,25-30,Hubei Qintai Shipping Company Limited,Hubei Qintai Shipping Company Limited
201102,CHN,Bulk,Handy,25-30,China Ocean Shipping (Group) Company (COSCO),COSCO Development Shipping Company Limited
201222,BGR,Bulk,Handy,25-30,,
201635,IRN,Bulk,Handymax,25-30,Rahbaran Omid Darya Ship Management Company (ROD),Rahbaran Omid Darya Ship Management Company (ROD)
201645,PAN,Container,Feedermax,25-30,Mediterranean Shipping Company (MSC) SA,Mediterranean Shipping Company (MSC) SA
201674,TUV,Bulk,Handy,25-30,Stiga Shipping Company,Stiga Shipping Company
201750,CHN,Container,Small,25-30,China Ocean Shipping (Group) Company (COSCO),Shanghai Panasia Shipping Company Limited
202060,PAN,Bulk,Handy,25-30,Vietnam National Shipping Lines (VINALINES),Vietnam National Shipping Lines (VINALINES)
202074,HKG,Bulk,Small,25-30,Shenzhen Shekou Shipping & Transportation Company Limited,Shenzhen Shekou Shipping & Transportation Company Limited
202120,IDN,Bulk,Handymax,25-30,P.T. Gurita Lintas Samudera,P.T. Gurita Lintas Samudera
202221,CHN,Bulk,Handymax,25-30,,
202260,HKG,Container,Feedermax,25-30,,
202310,LBR,Bulk,Handy,25-30,,
202361,BLZ,Bulk,Handy,25-30,Old Stone Shipmanagement Limited,Old Stone Shipmanagement Limited
202371,LBR,Bulk,Handymax,25-30,Saqr Logisitics,Saqr Logisitics
202534,IRN,Bulk,Handymax,25-30,Islamic Republic of Iran Shipping Lines (IRISL),Islamic Republic of Iran Shipping Lines (IRISL)
203003,PAN,Bulk,Handy,25-30,,
203035,PAN,Bulk,Handymax,25-30,Bangladesh Breakers,Bangladesh Breakers
203127,COM,Container,Small,25-30,Ajman Shipping & Trading LLC,Ajman Shipping & Trading LLC
203163,RUS,Container,Small,25-30,,
203260,CHN,Bulk,Panamax,25-30,,
203262,PAN,Bulk,Handy,25-30,,
203421,TGO,Bulk,Handy,25-30,GMZ Ship Management Company S.A.,GMZ Ship Management Company S.A.
203424,TUR,Bulk,Handy,25-30,T ve O Denizcilik Limited Sirketi,T ve O Denizcilik Limited Sirketi
203475,PAN,Container,Feeder,25-30,Mediterranean Shipping Company (MSC) SA,Mediterranean Shipping Company (MSC) SA
204127,LBR,Bulk,Handy,25-30,,
204241,TUV,Container,Panamax,25-30,,
204306,PAK,Bulk,Panamax,25-30,,
204320,MHL,Bulk,Panamax,25-30,,
204330,CHN,Bulk,Handy,25-30,,
204454,PAN,Bulk,Handymax,25-30,,
204665,CHN,Bulk,Handy,25-30,,
205225,CHN,Bulk,Panamax,25-30,Sinotrans CSC Group Company Limited,CSC Phoenix (HK) Investment & Development Company Limited
205252,PAN,Bulk,Handy,25-30,Seamasters International S.A.,Seamasters International S.A.
205300,MLT,Container,Feedermax,25-30,,
205430,PAN,Bulk,Handy,25-30,,
205466,LBR,Container,Panamax,25-30,,
205614,PAN,Bulk,Handy,25-30,,
205675,PAN,Container,Feeder,25-30,Mediterranean Shipping Company (MSC) SA,Mediterranean Shipping Company (MSC) SA
206113,TUR,Bulk,Handy,25-30,Ronesans Denizcilik Nakliyat Ticaret Limited Sirketi,Ronesans Denizcilik Nakliyat Ticaret Limited Sirketi
206215,CHN,Bulk,Handymax,25-30,,
206313,CHN,Bulk,Small,25-30,China Shipping (Group) Company,China Shipping Container Lines Company Limited
206420,BGD,Bulk,Handymax,25-30,Bangladesh Breakers,Bangladesh Breakers
206421,BGD,Bulk,Handy,25-30,Vanguard Maritime Limited,Vanguard Maritime Limited
206424,PAN,Bulk,Panamax,25-30,,
206502,BLZ,Bulk,Handy,25-30,Sadent Shipping Limited,Sadent Shipping Limited
206514,MHL,Bulk,Handy,25-30,,
206521,CYP,Bulk,Panamax,25-30,,
206561,UNK,Container,Small,25-30,Unknown Owners,Unknown Owners
206715,PAN,Container,Feeder,25-30,Mediterranean Shipping Company (MSC) SA,Mediterranean Shipping Company (MSC) SA
206725,PAN,Bulk,Handy,25-30,,
207250,CHN,Bulk,Handy,25-30,Fujian Shipping Company (FUSCO),Fujian Shipping Company (FUSCO)
207453,DMA,Bulk,Capesize,25-30,,
210042,IND,Bulk,Handy,20-25,,
210240,CAN,Bulk,Handy,>30,CSL Group Incorporated,CSL Group Incorporated
210255,RUS,Container,Small,25-30,,
210343,HKG,Container,Panamax,25-30,,
210361,CHN,Bulk,Handymax,25-30,,
210412,BHS,Bulk,Handymax,25-30,,
210534,KNA,Bulk,Panamax,25-30,,
210541,MLT,Bulk,Handy,25-30,Transyug Shipping Company Limited,Transyug Shipping Company Limited
210654,BHS,Bulk,Panamax,25-30,,
210721,CHN,Bulk,Handy,25-30,Changshou Hailong Shipping Company Limited,Changshou Hailong Shipping Company Limited
210723,PAN,Bulk,Panamax,25-30,,
211266,LBR,Bulk,Capesize,25-30,,
211572,PAN,Bulk,Panamax,25-30,,
213014,BLZ,Bulk,Handy,20-25,Sadent Shipping Limited,Sadent Shipping Limited
213072,PAN,Bulk,Panamax,25-30,,
213351,SLE,Container,Panamax,25-30,,
